index,Song_ID,name,artist,tempo,instrumentalness,danceability,mode,time_signature,key
1,02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,Bruno Mars Anderson .Paak Silk Sonic ,148.088,0,0.586,1,4,5
2,1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles ,110.011,1.46e-06,0.567,1,4,4
3,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars ,134.066,0,0.853,1,4,1
4,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars ,72.795,0,0.612,1,4,0
5,5dPz35akJjPqb17yeqNwqH,Ghost,Justin Bieber ,153.947,3.49e-05,0.604,1,4,2
6,6Z165JvPnS8PYvGW8oLGLc,Flowers,Lauren Spencer-Smith ,66.165,0,0.684,1,4,3
7,2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS ,120.041,0.00137,0.611,0,4,6
8,748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Doja Cat SZA ,110.968,0.000158,0.762,1,4,8
9,2gam98EZKrF9XuOkU13ApN,Promiscuous,Nelly Furtado Timbaland ,114.328,6.13e-05,0.808,0,4,10
10,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish Khalid ,115.284,0,0.351,0,4,4
