index,Song_ID,name,artist,tempo,instrumentalness,danceability,mode,time_signature,key
1,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd ,171.005,9.54e-05,0.514,1,4,1
2,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae ,160.036,7.07e-06,0.614,0,4,2
3,0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,Shawn Mendes ,147.148,0,0.603,1,4,5
4,5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo ,143.875,1.42e-05,0.561,1,4,10
5,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles ,95.39,0,0.548,1,4,0
6,0k4d5YPDr1r7FX77VdqWez,You Right,Doja Cat The Weeknd ,128.986,0.00233,0.828,1,4,8
7,18asYwWugKjjsihZ0YvRxO,The Motto,Tiësto Ava Max ,117.953,2.23e-05,0.754,0,4,7
8,2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B. ,116.959,0,0.609,1,3,1
9,5lAnYvAIkSDNXqfo7DyFUm,Ain't Shit,Doja Cat ,124.097,0,0.855,1,4,3
10,1BSMpVGWs3v5BZKnAQziAc,Light Switch,Charlie Puth ,184.009,0.000335,0.69,1,4,6
