index,Song_ID,name,artist,tempo,instrumentalness,danceability,mode,time_signature,key
1,6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber ,153.96,2.91e-05,0.601,1,4,2
2,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,Gotye Kimbra ,129.062,0.000133,0.864,1,4,0
3,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé ,185.727,0,0.41,0,3,4
4,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE ,121.932,0,0.695,1,4,4
5,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X Jack Harlow ,149.995,0,0.736,0,4,3
6,6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo ,180.917,5.7e-06,0.442,1,4,2
7,4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish ,81.055,0.00349,0.332,1,3,0
8,4d1CG5ei1E2vGbvmgf5KKv,This Love (Taylor’s Version),Taylor Swift ,144.039,0,0.47,1,4,4
9,2vWBUC9djv6BtiGlmKiQaH,YKWIM?,Yot Club ,123.735,0.873,0.372,1,3,9
10,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran ,126.011,2.79e-05,0.807,0,4,11
