index,Song_ID,name,artist,tempo,instrumentalness,danceability,mode,time_signature,key
1,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals ,80.87,6.7e-06,0.761,1,4,11
2,7H0ya83CMmgFcOhw0UB6ow,Space Song,Beach House ,147.067,0.124,0.508,0,4,0
3,3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean ,123.061,0.000503,0.913,1,4,8
4,7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,Megan Thee Stallion Dua Lipa ,123.977,0,0.814,1,4,7
5,2K7xn816oNHJZ0aVqdQsha,Softcore,The Neighbourhood ,93.986,0.000417,0.575,0,4,9
6,5dXWFMwD7I7zXsInONVl0H,I Hate U,SZA ,106.703,0,0.535,0,5,7
7,5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd ,118.051,1.24e-05,0.68,1,4,0
8,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele ,141.981,0,0.604,1,4,5
9,5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood ,85.012,0.149,0.588,1,4,10
10,65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),Drake Lil Baby ,136.006,2.17e-06,0.578,1,4,1
