index,Song_ID,name,artist,tempo,instrumentalness,danceability,mode,time_signature,key
1,6CDzDgIUqeDY5g8ujExx2f,Heat Waves,Glass Animals ,80.87,6.7e-06,0.761,1,4,11
2,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars ,109.021,0,0.635,1,4,5
3,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift ,93.023,0,0.631,1,4,0
4,32BeYxKPrig1LefHsC0Xuo,Happier Than Ever - Edit,Billie Eilish ,161.74,0.000392,0.334,1,3,0
5,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa DaBaby ,102.977,0,0.702,0,4,6
6,1BYZxKSf0aTxp8ZFoeyM3d,we fell in love in october,girl in red ,129.959,0.181,0.566,1,4,7
7,2tGvwE8GcFKwNdAXMnlbfl,happier,Olivia Rodrigo ,168.924,9.67e-06,0.395,1,3,6
8,3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer-Smith ,109.414,0,0.56,1,4,5
9,0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Drake Future Young Thug ,136.008,4.5e-06,0.803,0,4,11
10,4UG2Fm0E98LhE2dlNxiAXx,this is what falling in love feels like,JVKE ,128.983,0,0.424,1,5,11
